,HR,Median,Mean
ZNF248,2.34120996302863,7.7075,7.69957902735562
ANKDD1A,1.92559967776138,5.3095,5.35831762917933
PPP1R3E,1.74408062937441,5.9038,5.94775835866261
PCDHB15,1.47294158686921,4.6318,4.64132765957447
ANKRD6,1.44612091245404,5.0841,5.16470151975684
RIMKLB,1.41744339664811,5.9514,5.91300273556231
MPP2,1.35871211532761,4.5437,4.61986079027356
GDF15,0.747092989961939,11.236,11.0552933130699
SEL1L3,0.39834814375137,12.0622,12.0097635258359
PI4K2B,0.378587442807422,9.8843,9.87576474164134
